Control Code,Parent Control Code,Domain,Control Type,Description,SOC 2 Direct Mapping,SOC 2 Inherited Mapping,SOC 2 Effective Mapping,CIS IG1 Mapping,Suggested Evidence Examples,Evidence Keywords,Recommendation Template,Source
NET-25,,Network & Endpoint Security,Parent Control,Secure domain management is configured and maintained.,,,,CIS_IG1_9_9.2,Firewall or security group export; Endpoint configuration profile; Logging/monitoring dashboard; Network diagram; Alerting configuration,secure; domain; management; configured,"Maintain network, endpoint, logging, and monitoring configuration evidence, including review and alerting records where applicable.",Secureframe-derived sanitized control export
ORG-01,,Governance / Organization,Parent Control,"A Code of Conduct outlines ethical expectations, behavior standards, and ramifications of noncompliance.","CC1.1, CC1.4",,"CC1.1, CC1.4",,Policy document; Policy acknowledgement report; Training completion report; Org chart; Management review evidence,code; conduct; outlines; ethical; expectations; behavior; standards; ramifications; noncompliance,"Maintain governance documentation, policy review/acknowledgement records, training evidence, and management oversight evidence.",Secureframe-derived sanitized control export
ORG-02,,Governance / Organization,Parent Control,"The board of directors or equivalent entity function includes senior management and external advisors, who are independent from the company's operations. An information security team has also been established to govern cybersecurity.","CC1.2, CC1.3",,"CC1.2, CC1.3",,Policy document; Policy acknowledgement report; Training completion report; Org chart; Management review evidence,board; directors; equivalent; entity; function; includes; senior; management; external; advisors; independent; company; operations; information; security; team; also; been,"Maintain governance documentation, policy review/acknowledgement records, training evidence, and management oversight evidence.",Secureframe-derived sanitized control export
ORG-03,,Governance / Organization,Parent Control,"Senior management and/or board of directors meets at least quarterly to review business goals, company initiatives, resource needs, risk management activities, and other internal/external matters. The information security team meets at least quarterly to discuss security risks, roles & responsibilities, controls, changes, audit results and/or other matters as necessary.","CC1.2, CC1.3, CC1.5, CC2.2, CC2.3, CC3.1, CC4.2",,"CC1.2, CC1.3, CC1.5, CC2.2, CC2.3, CC3.1, CC4.2",,Policy document; Policy acknowledgement report; Training completion report; Org chart; Management review evidence,senior; management; board; directors; meets; least; quarterly; business; goals; company; initiatives; resource; needs; risk; activities; other; internal; external,"Maintain governance documentation, policy review/acknowledgement records, training evidence, and management oversight evidence.",Secureframe-derived sanitized control export
ORG-05,,Governance / Organization,Parent Control,A continuous monitoring solution monitors internal controls used in the achievement of service commitments and system requirements.,"CC1.5, CC2.1, CC4.1, CC4.2, CC5.2, CC5.3",,"CC1.5, CC2.1, CC4.1, CC4.2, CC5.2, CC5.3",,Policy document; Policy acknowledgement report; Training completion report; Org chart; Management review evidence,continuous; monitoring; solution; monitors; internal; used; achievement; service; commitments; requirements,"Maintain governance documentation, policy review/acknowledgement records, training evidence, and management oversight evidence.",Secureframe-derived sanitized control export
ORG-08,,Governance / Organization,Parent Control,"Hiring managers screen new hires or internal transfers to assess their qualifications, experience, and competency to fulfill their responsibilities. New hires sign confidentiality agreements or equivalents upon hire.",CC1.4,,CC1.4,,Policy document; Policy acknowledgement report; Training completion report; Org chart; Management review evidence,hiring; managers; screen; hires; internal; transfers; assess; their; qualifications; experience; competency; fulfill; responsibilities; sign; confidentiality; agreements; equivalents; upon,"Maintain governance documentation, policy review/acknowledgement records, training evidence, and management oversight evidence.",Secureframe-derived sanitized control export
ORG-09,,Governance / Organization,Parent Control,Internal personnel complete annual training programs for information security to help them understand their obligations and responsibilities related to security.,"CC1.4, CC2.2",,"CC1.4, CC2.2","CIS_IG1_14_14.1, CIS_IG1_14_14.2, CIS_IG1_14_14.3, CIS_IG1_14_14.4, CIS_IG1_14_14.5, CIS_IG1_14_14.7, CIS_IG1_14_14.8",Policy document; Policy acknowledgement report; Training completion report; Org chart; Management review evidence,internal; complete; annual; training; programs; information; security; help; them; understand; their; obligations; responsibilities; related,"Maintain governance documentation, policy review/acknowledgement records, training evidence, and management oversight evidence.",Secureframe-derived sanitized control export
ORG-10,,Governance / Organization,Parent Control,"An Acceptable Use Policy defines standards for appropriate and secure use of company hardware and electronic systems including storage media, communication tools and internet access.","CC5.3, CC6.7, CC6.8",,"CC5.3, CC6.7, CC6.8",,Policy document; Policy acknowledgement report; Training completion report; Org chart; Management review evidence,acceptable; defines; standards; appropriate; secure; company; hardware; electronic; including; storage; media; communication; tools; internet,"Maintain governance documentation, policy review/acknowledgement records, training evidence, and management oversight evidence.",Secureframe-derived sanitized control export
ORG-11,,Governance / Organization,Parent Control,Personnel who violate information security policies are subject to disciplinary action and such disciplinary action is clearly documented in one or more policies.,"CC1.1, CC1.5, CC5.3, CC7.4",,"CC1.1, CC1.5, CC5.3, CC7.4",,Policy document; Policy acknowledgement report; Training completion report; Org chart; Management review evidence,violate; information; security; policies; subject; disciplinary; action; such; clearly; documented; more,"Maintain governance documentation, policy review/acknowledgement records, training evidence, and management oversight evidence.",Secureframe-derived sanitized control export
ORG-12,,Governance / Organization,Parent Control,"An Information Security Policy establishes the security requirements for maintaining the security, confidentiality, integrity, and availability of applications, systems, infrastructure, and data.","CC1.4, CC2.1, CC5.3",,"CC1.4, CC2.1, CC5.3",,Policy document; Policy acknowledgement report; Training completion report; Org chart; Management review evidence,information; security; establishes; requirements; maintaining; confidentiality; integrity; availability; applications; infrastructure,"Maintain governance documentation, policy review/acknowledgement records, training evidence, and management oversight evidence.",Secureframe-derived sanitized control export
ORG-13,,Governance / Organization,Parent Control,Cybersecurity insurance has been procured to help minimize the financial impact of cybersecurity loss events.,CC9.1,,CC9.1,,Policy document; Policy acknowledgement report; Training completion report; Org chart; Management review evidence,cybersecurity; insurance; been; procured; help; minimize; financial; impact; loss; events,"Maintain governance documentation, policy review/acknowledgement records, training evidence, and management oversight evidence.",Secureframe-derived sanitized control export
ORG-15,,Governance / Organization,Parent Control,A Performance Review Policy provides personnel context and transparency into their performance and career development processes.,"CC1.4, CC1.5, CC5.3",,"CC1.4, CC1.5, CC5.3",,Policy document; Policy acknowledgement report; Training completion report; Org chart; Management review evidence,performance; provides; context; transparency; their; career; development; processes,"Maintain governance documentation, policy review/acknowledgement records, training evidence, and management oversight evidence.",Secureframe-derived sanitized control export
ORG-16,,Governance / Organization,Parent Control,"Management is responsible for the design, implementation, and management of the organization’s security policies and procedures. The policies and procedures are reviewed by management at least annually.",CC5.3,,CC5.3,"CIS_IG1_11_11.1, CIS_IG1_17_17.3, CIS_IG1_4_4.1, CIS_IG1_8_8.1",Policy document; Policy acknowledgement report; Training completion report; Org chart; Management review evidence,management; responsible; design; implementation; security; policies; procedures; least; annually,"Maintain governance documentation, policy review/acknowledgement records, training evidence, and management oversight evidence.",Secureframe-derived sanitized control export
ORG-58,,Governance / Organization,Parent Control,"A SOC 2 system description provides an overview of an organization's control environment, including its background, services, IT infrastructure, people, processes, technologies, and controls.",CC2.2,,CC2.2,,Policy document; Policy acknowledgement report; Training completion report; Org chart; Management review evidence,description; provides; overview; environment; including; background; services; infrastructure; people; processes; technologies,"Maintain governance documentation, policy review/acknowledgement records, training evidence, and management oversight evidence.",Secureframe-derived sanitized control export
PHYS-01,,Physical Security,Parent Control,A Physical Security Policy that details physical security requirements for the company facilities is in place.,"CC5.3, CC6.4, CC6.5",,"CC5.3, CC6.4, CC6.5",,Physical security policy; Visitor log sample; Physical access review; Facility access control evidence,physical; security; that; details; requirements; company; facilities; place,"Maintain physical security procedures and evidence of visitor controls, access provisioning, review, and facility safeguards.",Secureframe-derived sanitized control export
PHYS-02,,Physical Security,Parent Control,"Production facilities require all visitors to formally sign-in, unless preauthorization for the visitor exists.",CC6.4,,CC6.4,,Physical security policy; Visitor log sample; Physical access review; Facility access control evidence,production; facilities; require; visitors; formally; sign; unless; preauthorization; visitor; exists,"Maintain physical security procedures and evidence of visitor controls, access provisioning, review, and facility safeguards.",Secureframe-derived sanitized control export
PHYS-03,,Physical Security,Parent Control,"Processes are in place to create, modify or remove physical access to facilities such as data centers, office spaces, and work areas based on the needs of such individual.",CC6.4,,CC6.4,,Physical security policy; Visitor log sample; Physical access review; Facility access control evidence,processes; place; create; modify; remove; physical; facilities; such; centers; office; spaces; work; areas; needs; individual,"Maintain physical security procedures and evidence of visitor controls, access provisioning, review, and facility safeguards.",Secureframe-derived sanitized control export
PHYS-04,,Physical Security,Parent Control,Processes are in place to periodically review physical access to ensure consistency with job responsibilities.,CC6.4,,CC6.4,,Physical security policy; Visitor log sample; Physical access review; Facility access control evidence,processes; place; periodically; physical; ensure; consistency; responsibilities,"Maintain physical security procedures and evidence of visitor controls, access provisioning, review, and facility safeguards.",Secureframe-derived sanitized control export
PHYS-05,,Physical Security,Parent Control,"Physical protections are in place to safeguard facilities, infrastructure, systems, and data from external and internal threats.",A1.2,,A1.2,,Physical security policy; Visitor log sample; Physical access review; Facility access control evidence,physical; protections; place; safeguard; facilities; infrastructure; external; internal; threats,"Maintain physical security procedures and evidence of visitor controls, access provisioning, review, and facility safeguards.",Secureframe-derived sanitized control export
RA-01,,Risk & Vendor Management,Parent Control,"A Risk Assessment and Treatment Policy governs the process for conducting risk assessments to account for threats, vulnerabilities, likelihood, and impact with respect to assets, team members, customers, vendors, suppliers, and partners. Risk tolerance and strategies are also defined in the policy.","CC3.1, CC3.2, CC5.3, CC9.1",,"CC3.1, CC3.2, CC5.3, CC9.1",,Risk assessment; Risk register; Vendor inventory; Vendor due diligence records; Vendor SOC 2 review,risk; assessment; treatment; governs; process; conducting; assessments; account; threats; vulnerabilities; likelihood; impact; respect; assets; team; members; customers; vendors,"Maintain risk assessment, vendor risk, risk register, and mitigation evidence with management review and periodic reassessment.",Secureframe-derived sanitized control export
RA-02,,Risk & Vendor Management,Parent Control,"Formal risk assessments are performed, which includes the identification of relevant internal and external threats related to security, availability, confidentiality, and fraud, and an analysis of risks associated with those threats.","A1.2, CC2.1, CC3.1, CC3.2, CC3.3, CC3.4, CC5.1, CC9.1",,"A1.2, CC2.1, CC3.1, CC3.2, CC3.3, CC3.4, CC5.1, CC9.1",,Risk assessment; Risk register; Vendor inventory; Vendor due diligence records; Vendor SOC 2 review,formal; risk; assessments; performed; which; includes; identification; relevant; internal; external; threats; related; security; availability; confidentiality; fraud; analysis; risks,"Maintain risk assessment, vendor risk, risk register, and mitigation evidence with management review and periodic reassessment.",Secureframe-derived sanitized control export
RA-03,,Risk & Vendor Management,Parent Control,"A risk register is maintained, which records the risk mitigation strategies for identified risks, and the development or modification of controls consistent with the risk mitigation strategy.","CC3.2, CC9.1",,"CC3.2, CC9.1",,Risk assessment; Risk register; Vendor inventory; Vendor due diligence records; Vendor SOC 2 review,risk; register; which; records; mitigation; strategies; identified; risks; development; modification; consistent; strategy,"Maintain risk assessment, vendor risk, risk register, and mitigation evidence with management review and periodic reassessment.",Secureframe-derived sanitized control export
RA-05,,Risk & Vendor Management,Parent Control,Vendor SOC 2 reports (or equivalent) are collected and reviewed on at least an annual basis.,"A1.2, CC1.3, CC1.4, CC6.4, CC6.5, CC9.2, P6.4",,"A1.2, CC1.3, CC1.4, CC6.4, CC6.5, CC9.2, P6.4",,Risk assessment; Risk register; Vendor inventory; Vendor due diligence records; Vendor SOC 2 review,vendor; reports; equivalent; collected; least; annual; basis,"Maintain risk assessment, vendor risk, risk register, and mitigation evidence with management review and periodic reassessment.",Secureframe-derived sanitized control export
RA-05-1,RA-05,Risk & Vendor Management,Child / Implementation Control,Vendor risk levels are assessed and vendor security due diligence is performed at least annually.,,"A1.2, CC1.3, CC1.4, CC6.4, CC6.5, CC9.2, P6.4","A1.2, CC1.3, CC1.4, CC6.4, CC6.5, CC9.2, P6.4",CIS_IG1_15_15.1,Risk assessment; Risk register; Vendor inventory; Vendor due diligence records; Vendor SOC 2 review,vendor; risk; levels; assessed; security; diligence; performed; least; annually,"Maintain risk assessment, vendor risk, risk register, and mitigation evidence with management review and periodic reassessment.",Secureframe-derived sanitized control export
RA-06,,Risk & Vendor Management,Parent Control,New vendors are assessed in accordance with the Vendor Risk Management Policy prior to engaging with the vendor. Reassessment occurs at least annually.,"CC1.3, CC2.3, CC3.2, CC3.4",,"CC1.3, CC2.3, CC3.2, CC3.4",,Risk assessment; Risk register; Vendor inventory; Vendor due diligence records; Vendor SOC 2 review,vendors; assessed; accordance; vendor; risk; management; prior; engaging; reassessment; occurs; least; annually,"Maintain risk assessment, vendor risk, risk register, and mitigation evidence with management review and periodic reassessment.",Secureframe-derived sanitized control export
RA-09,,Risk & Vendor Management,Parent Control,The organization replaces and/or patches system components when support for the components is no longer available from the developer vendor or manufacturer.,,,,CIS_IG1_2_2.2,Risk assessment; Risk register; Vendor inventory; Vendor due diligence records; Vendor SOC 2 review,replaces; patches; components; when; support; longer; available; developer; vendor; manufacturer,"Maintain risk assessment, vendor risk, risk register, and mitigation evidence with management review and periodic reassessment.",Secureframe-derived sanitized control export
RA-11,,Risk & Vendor Management,Parent Control,Connections between organization systems and components are approved documented and reviewed.,,,,CIS_IG1_4_4.4,Risk assessment; Risk register; Vendor inventory; Vendor due diligence records; Vendor SOC 2 review,connections; between; components; approved; documented,"Maintain risk assessment, vendor risk, risk register, and mitigation evidence with management review and periodic reassessment.",Secureframe-derived sanitized control export
VM-01,,Vulnerability Management,Parent Control,A Vulnerability Management and Patch Management Policy outlines the processes to efficiently respond to identified vulnerabilities.,"CC5.3, CC7.1",,"CC5.3, CC7.1",CIS_IG1_7_7.1,Vulnerability scan report; Patch management report; Remediation tracker; Penetration test report; Exception register,vulnerability; management; patch; outlines; processes; efficiently; respond; identified; vulnerabilities,"Maintain vulnerability scanning, remediation, patching, and penetration testing evidence with tracking through resolution.",Secureframe-derived sanitized control export
VM-02,,Vulnerability Management,Parent Control,"Vulnerability scanning is performed on production infrastructure systems, and identified deficiencies are remediated on a timely basis.","CC2.1, CC3.2, CC4.1, CC4.2, CC7.1",,"CC2.1, CC3.2, CC4.1, CC4.2, CC7.1",,Vulnerability scan report; Patch management report; Remediation tracker; Penetration test report; Exception register,vulnerability; scanning; performed; production; infrastructure; identified; deficiencies; remediated; timely; basis,"Maintain vulnerability scanning, remediation, patching, and penetration testing evidence with tracking through resolution.",Secureframe-derived sanitized control export
VM-02-1,VM-02,Vulnerability Management,Child / Implementation Control,Vulnerability scans are performed on internal and external system components and applications.,,"CC2.1, CC3.2, CC4.1, CC4.2, CC7.1","CC2.1, CC3.2, CC4.1, CC4.2, CC7.1",CIS_IG1_7_7.1,Vulnerability scan report; Patch management report; Remediation tracker; Penetration test report; Exception register,vulnerability; scans; performed; internal; external; components; applications,"Maintain vulnerability scanning, remediation, patching, and penetration testing evidence with tracking through resolution.",Secureframe-derived sanitized control export
VM-02-13,VM-02,Vulnerability Management,Child / Implementation Control,"Perform internal and external scans, and rescans as needed, after any significant change",,"CC2.1, CC3.2, CC4.1, CC4.2, CC7.1","CC2.1, CC3.2, CC4.1, CC4.2, CC7.1",CIS_IG1_7_7.1,Vulnerability scan report; Patch management report; Remediation tracker; Penetration test report; Exception register,perform; internal; external; scans; rescans; needed; after; significant; change,"Maintain vulnerability scanning, remediation, patching, and penetration testing evidence with tracking through resolution.",Secureframe-derived sanitized control export
VM-03,,Vulnerability Management,Parent Control,A 3rd party is engaged to conduct a network and application penetration test of the production environment at least annually. Critical and high-risk findings are tracked through resolution.,"CC2.1, CC4.1, CC4.2, CC7.1",,"CC2.1, CC4.1, CC4.2, CC7.1",,Vulnerability scan report; Patch management report; Remediation tracker; Penetration test report; Exception register,party; engaged; conduct; network; application; penetration; test; production; environment; least; annually; critical; high; risk; findings; tracked; through; resolution,"Maintain vulnerability scanning, remediation, patching, and penetration testing evidence with tracking through resolution.",Secureframe-derived sanitized control export
VM-04,,Vulnerability Management,Parent Control,Infrastructure and endpoint vulnerabilities are tracked and remediated through patching and security updates.,,,,CIS_IG1_7_7.3,Vulnerability scan report; Patch management report; Remediation tracker; Penetration test report; Exception register,infrastructure; endpoint; vulnerabilities; tracked; remediated; through; patching; security; updates,"Maintain vulnerability scanning, remediation, patching, and penetration testing evidence with tracking through resolution.",Secureframe-derived sanitized control export
VM-04-1,VM-04,Vulnerability Management,Child / Implementation Control,"Infrastructure systems and applications are regularly patched and updated, while maintaining compliance with authorized baseline configurations.",,,,CIS_IG1_12_12.1,Vulnerability scan report; Patch management report; Remediation tracker; Penetration test report; Exception register,infrastructure; applications; regularly; patched; updated; while; maintaining; compliance; authorized; baseline; configurations,"Maintain vulnerability scanning, remediation, patching, and penetration testing evidence with tracking through resolution.",Secureframe-derived sanitized control export
VM-04-2,VM-04,Vulnerability Management,Child / Implementation Control,Software and firmware updates and patches are installed to applicable system components.,,,,CIS_IG1_7_7.4,Vulnerability scan report; Patch management report; Remediation tracker; Penetration test report; Exception register,software; firmware; updates; patches; installed; components,"Maintain vulnerability scanning, remediation, patching, and penetration testing evidence with tracking through resolution.",Secureframe-derived sanitized control export
VM-05,,Vulnerability Management,Parent Control,"Vulnerabilities are identified, reported, and remediated or patched within the organization-defined time period.",,,,CIS_IG1_7_7.2,Vulnerability scan report; Patch management report; Remediation tracker; Penetration test report; Exception register,vulnerabilities; identified; reported; remediated; patched; within; defined; time; period,"Maintain vulnerability scanning, remediation, patching, and penetration testing evidence with tracking through resolution.",Secureframe-derived sanitized control export
AC-01-13,AC-01,Access Control,Child / Implementation Control,An inventory of system assets and components is reviewed and updated annually by identified owners.,,CC6.1,CC6.1,CIS_IG1_1_1.1,Access control policy; Identity provider settings; User access export; MFA or authentication configuration; Access review records,inventory; assets; components; updated; annually; identified; owners,"Maintain documented access controls, retain evidence of authorization, authentication, least privilege, and periodic review.",Secureframe-derived sanitized control export
AC-01-14,AC-01,Access Control,Child / Implementation Control,Set appropriate lockout durations.,,CC6.1,CC6.1,CIS_IG1_4_4.3,Access control policy; Identity provider settings; User access export; MFA or authentication configuration; Access review records,appropriate; lockout; durations,"Maintain documented access controls, retain evidence of authorization, authentication, least privilege, and periodic review.",Secureframe-derived sanitized control export
AC-03-16,AC-03,Access Control,Child / Implementation Control,Multi-factor authentication is implemented for human resource systems.,,"CC6.1, CC6.6","CC6.1, CC6.6",CIS_IG1_6_6.3,Access control policy; Identity provider settings; User access export; MFA or authentication configuration; Access review records,multi; factor; authentication; implemented; human; resource,"Maintain documented access controls, retain evidence of authorization, authentication, least privilege, and periodic review.",Secureframe-derived sanitized control export
AC-04-2,AC-04,Access Control,Child / Implementation Control,"A policy is maintained to govern authentication and access to applicable systems, data, and networks.",,"CC5.3, CC6.1, CC6.2, CC6.3","CC5.3, CC6.1, CC6.2, CC6.3","CIS_IG1_6_6.1, CIS_IG1_6_6.2",Access control policy; Identity provider settings; User access export; MFA or authentication configuration; Access review records,govern; authentication; networks,"Maintain documented access controls, retain evidence of authorization, authentication, least privilege, and periodic review.",Secureframe-derived sanitized control export
AC-06,,Access Control,Parent Control,Administrative access to production infrastructure is restricted based on the principle of least privilege.,"CC6.2, PI1.5",,"CC6.2, PI1.5",,Access control policy; Identity provider settings; User access export; MFA or authentication configuration; Access review records,administrative; production; infrastructure; restricted; principle; least; privilege,"Maintain documented access controls, retain evidence of authorization, authentication, least privilege, and periodic review.",Secureframe-derived sanitized control export
AC-07-15,AC-07,Access Control,Child / Implementation Control,Restrict and manage IAM administrators in the account.,,"CC6.2, CC6.3","CC6.2, CC6.3",CIS_IG1_5_5.4,Access control policy; Identity provider settings; User access export; MFA or authentication configuration; Access review records,restrict; manage; administrators; account,"Maintain documented access controls, retain evidence of authorization, authentication, least privilege, and periodic review.",Secureframe-derived sanitized control export
AC-07-9,AC-07,Access Control,Child / Implementation Control,"Restrict access and permissions across various cloud platforms by implementing least-privileged access policies, limiting public access to resources, and using minimally privileged service accounts.",,"CC6.2, CC6.3","CC6.2, CC6.3",CIS_IG1_3_3.3,Access control policy; Identity provider settings; User access export; MFA or authentication configuration; Access review records,restrict; permissions; across; various; cloud; platforms; implementing; least; privileged; policies; limiting; public; resources; minimally; service; accounts,"Maintain documented access controls, retain evidence of authorization, authentication, least privilege, and periodic review.",Secureframe-derived sanitized control export
AC-10,,Access Control,Parent Control,Service data is encrypted-at-rest.,"CC6.1, CC6.7, PI1.4, PI1.5",,"CC6.1, CC6.7, PI1.4, PI1.5",,Access control policy; Identity provider settings; User access export; MFA or authentication configuration; Access review records,service; encrypted; rest,"Maintain documented access controls, retain evidence of authorization, authentication, least privilege, and periodic review.",Secureframe-derived sanitized control export
AC-11,,Access Control,Parent Control,Service data transmitted over the internet is encrypted-in-transit.,"CC6.6, CC6.7, PI1.4, PI1.5",,"CC6.6, CC6.7, PI1.4, PI1.5",,Access control policy; Identity provider settings; User access export; MFA or authentication configuration; Access review records,service; transmitted; over; internet; encrypted; transit,"Maintain documented access controls, retain evidence of authorization, authentication, least privilege, and periodic review.",Secureframe-derived sanitized control export
AC-12,,Access Control,Parent Control,"An Encryption and Key Management Policy supports the secure encryption and decryption of app secrets, and governs the use of cryptographic controls.","CC5.3, CC6.1, CC6.6",,"CC5.3, CC6.1, CC6.6",,Access control policy; Identity provider settings; User access export; MFA or authentication configuration; Access review records,encryption; management; supports; secure; decryption; secrets; governs; cryptographic,"Maintain documented access controls, retain evidence of authorization, authentication, least privilege, and periodic review.",Secureframe-derived sanitized control export
AM-02,,Asset Management,Parent Control,"Inventory of production cloud infrastructure assets, version control repositories, and physical assets are maintained.",,,,CIS_IG1_1_1.1,Asset inventory export; Software inventory report; Asset owner review evidence; Endpoint or cloud asset discovery report,inventory; production; cloud; infrastructure; assets; version; repositories; physical,Maintain a complete asset inventory with assigned ownership and evidence of at least annual review.,Secureframe-derived sanitized control export
AM-14,,Asset Management,Parent Control,End users are restricted from installing unauthorized software.,,,,"CIS_IG1_2_2.3, CIS_IG1_9_9.1",Asset inventory export; Software inventory report; Asset owner review evidence; Endpoint or cloud asset discovery report,restricted; installing; unauthorized; software,Maintain a complete asset inventory with assigned ownership and evidence of at least annual review.,Secureframe-derived sanitized control export
AVA-02,,Availability / Backup & Recovery,Parent Control,"The system is configured for high availability to support continuous availability, when applicable.","A1.1, A1.2",,"A1.1, A1.2",,Backup configuration; Backup job history; Restore test evidence; BCDR plan or tabletop record; Availability monitoring report,configured; high; availability; support; continuous; when,"Maintain backup, availability, and recovery evidence, including monitoring, retention, and periodic restore or tabletop testing.",Secureframe-derived sanitized control export
AVA-03,,Availability / Backup & Recovery,Parent Control,Full backups are performed and retained in accordance with the Business Continuity and Disaster Recovery Policy.,"A1.2, PI1.5",,"A1.2, PI1.5",,Backup configuration; Backup job history; Restore test evidence; BCDR plan or tabletop record; Availability monitoring report,full; backups; performed; retained; accordance; business; continuity; disaster; recovery,"Maintain backup, availability, and recovery evidence, including monitoring, retention, and periodic restore or tabletop testing.",Secureframe-derived sanitized control export
AVA-03-6,AVA-03,Availability / Backup & Recovery,Child / Implementation Control,"Configure automated backups and restore points for various databases, ensuring data security and limited access.",,"A1.2, PI1.5","A1.2, PI1.5",CIS_IG1_11_11.2,Backup configuration; Backup job history; Restore test evidence; BCDR plan or tabletop record; Availability monitoring report,configure; automated; backups; restore; points; various; databases; ensuring; security; limited,"Maintain backup, availability, and recovery evidence, including monitoring, retention, and periodic restore or tabletop testing.",Secureframe-derived sanitized control export
AVA-03-7,AVA-03,Availability / Backup & Recovery,Child / Implementation Control,"Data and relevant information is backed up and retained in accordance with applicable laws, guidelines, regulations, and requirements.",,"A1.2, PI1.5","A1.2, PI1.5",CIS_IG1_3_3.4,Backup configuration; Backup job history; Restore test evidence; BCDR plan or tabletop record; Availability monitoring report,relevant; information; backed; retained; accordance; laws; guidelines; regulations; requirements,"Maintain backup, availability, and recovery evidence, including monitoring, retention, and periodic restore or tabletop testing.",Secureframe-derived sanitized control export
AVA-06,,Availability / Backup & Recovery,Parent Control,"The Business Continuity and Disaster Recovery Plan is periodically tested via tabletop exercises or equivalents. When necessary, Management makes changes to the Business Continuity and Disaster Recovery Plan based on the test results.","A1.3, CC7.5, PI1.5",,"A1.3, CC7.5, PI1.5",,Backup configuration; Backup job history; Restore test evidence; BCDR plan or tabletop record; Availability monitoring report,business; continuity; disaster; recovery; plan; periodically; tested; tabletop; exercises; equivalents; when; necessary; management; makes; changes; test; results,"Maintain backup, availability, and recovery evidence, including monitoring, retention, and periodic restore or tabletop testing.",Secureframe-derived sanitized control export
C-02,,Confidentiality / Data Handling,Parent Control,"Access to, erasure of, or destruction of customer data is restricted to personnel that need access based on the principle of least privilege.",C1.1,,C1.1,,Data classification policy; Data retention policy; Data disposal/deletion procedure; Customer data handling evidence,erasure; destruction; customer; restricted; that; need; principle; least; privilege,"Document data handling, classification, retention, deletion, and access procedures, and retain evidence of operating effectiveness.",Secureframe-derived sanitized control export
C-03,,Confidentiality / Data Handling,Parent Control,"Upon customer request, The organization requires that data that is no longer needed from databases and other file stores is removed in accordance with agreed-upon customer requirements.",C1.2,,C1.2,,Data classification policy; Data retention policy; Data disposal/deletion procedure; Customer data handling evidence,upon; customer; request; requires; that; longer; needed; databases; other; file; stores; removed; accordance; agreed; requirements,"Document data handling, classification, retention, deletion, and access procedures, and retain evidence of operating effectiveness.",Secureframe-derived sanitized control export
C-03-2,C-03,Confidentiality / Data Handling,Child / Implementation Control,"Maintain a sensitive data deletion process including limiting storage amount and retention time, maintaining retention requirements, creating secure deletion processes, and establishing a quarterly review process.",,C1.2,C1.2,"CIS_IG1_3_3.1, CIS_IG1_3_3.4, CIS_IG1_3_3.5",Data classification policy; Data retention policy; Data disposal/deletion procedure; Customer data handling evidence,maintain; sensitive; deletion; process; including; limiting; storage; amount; retention; time; maintaining; requirements; creating; secure; processes; establishing; quarterly,"Document data handling, classification, retention, deletion, and access procedures, and retain evidence of operating effectiveness.",Secureframe-derived sanitized control export
CM-01,,Change & Configuration Management,Parent Control,"Baseline configurations and codebases for production infrastructure, systems, and applications are securely managed.","CC6.8, CC7.1, CC8.1, PI1.3",,"CC6.8, CC7.1, CC8.1, PI1.3",,Change management policy; Pull request or change approval samples; Deployment/testing evidence; Configuration baseline evidence,baseline; configurations; codebases; production; infrastructure; applications; securely; managed,"Document change and configuration controls, retain approval/testing evidence, and maintain segregation between development and production.",Secureframe-derived sanitized control export
CM-03-3,CM-03,Change & Configuration Management,Child / Implementation Control,Pull/merge request template requirements are utilized to ensure consistently described code changes.,,"CC6.8, CC8.1, PI1.3","CC6.8, CC8.1, PI1.3",CIS_IG1_4_4.1,Change management policy; Pull request or change approval samples; Deployment/testing evidence; Configuration baseline evidence,pull; merge; request; template; requirements; utilized; ensure; consistently; described; code; changes,"Document change and configuration controls, retain approval/testing evidence, and maintain segregation between development and production.",Secureframe-derived sanitized control export
CM-05,,Change & Configuration Management,Parent Control,"Production data is not used in the development and testing environments, unless required for debugging customer issues.",CC8.1,,CC8.1,,Change management policy; Pull request or change approval samples; Deployment/testing evidence; Configuration baseline evidence,production; used; development; testing; environments; unless; required; debugging; customer; issues,"Document change and configuration controls, retain approval/testing evidence, and maintain segregation between development and production.",Secureframe-derived sanitized control export
CM-07,,Change & Configuration Management,Parent Control,"A Change Management Policy governs the documenting, tracking, testing, and approving of system, network, security, and infrastructure changes.","CC5.3, CC6.8, CC8.1, PI1.3",,"CC5.3, CC6.8, CC8.1, PI1.3",,Change management policy; Pull request or change approval samples; Deployment/testing evidence; Configuration baseline evidence,change; management; governs; documenting; tracking; testing; approving; network; security; infrastructure; changes,"Document change and configuration controls, retain approval/testing evidence, and maintain segregation between development and production.",Secureframe-derived sanitized control export
COM-04-1,COM-04,Communications,Child / Implementation Control,External communication channels are established to deliver communications to external parties.,P8.1,"CC2.3, CC7.4, CC7.5, P6.6","CC2.3, CC7.4, CC7.5, P6.6, P8.1",,External communication procedure; Published policy or terms; Security commitment communication; Incident/customer communication template,external; communication; channels; established; deliver; communications; parties,"Maintain documented internal and external communication channels, published commitments, and evidence of communication procedures.",Secureframe-derived sanitized control export
